,mostRelevantField,mostRelevantUni,highestDegree
878,Other,Other,Bachelors
879,CS,Northeastern,Masters
880,Biology,MIT,Bachelors
881,Finance,Other,Bachelors
882,Other,Other,Bachelors
883,Business,Brandeis,MBA
884,AI,Dartmouth,Bachelors
885,Other,Other,Bachelors
886,Other,Dartmouth,Bachelors
887,AI,Other,Bachelors
888,Mechanical Eng,Other,Bachelors
889,Other,NYU,Masters
890,AI,NYU,Masters
891,Physics,Other,PhD
892,Business,MIT,Masters
893,Chemistry,MIT,PhD
894,CS,Northeastern,Masters
895,Data Science,Northeastern,Masters
896,CS,Northeastern,Masters
897,Biology,Other,Bachelors
898,Finance,Other,Bachelors
899,Physics,MIT,Postdoc
900,Other,BU,Bachelors
901,Other,MIT,Masters
902,Other,Other,Masters
903,Biology,MIT,Masters
904,Biology,MIT,Postdoc
905,Business,Other,Masters
906,Other,Other,Masters
907,Other,WPI,Masters
908,Industrial Eng,Northeastern,Masters
909,Other,MIT,Masters
910,Finance,Other,PhD
911,Other,Other,Bachelors
912,CS,MIT,Postdoc
913,Data Science,Northeastern,Masters
914,CS,MIT,Masters
915,Business,Other,Bachelors
916,Other,NYU,Bachelors
917,Business,MIT,MBA
918,Mechanical Eng,Other,Postdoc
919,Other,Northeastern,Other
920,Other,MIT,Postdoc
921,CS,NYU,Masters
922,Data Science,Tufts,Other
923,Biology,Other,Bachelors
